2026-04-21T14:47:48.649193Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:47:50.272476Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: sync_once{conn_id="room-list" pos="554/s1042_6501_62_143_248_1_254_227_0_1_1_1" timeout=0} > send{request_id="REQ-5" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="647B" status=200 response_size="345B" request_duration=12.434792ms}
2026-04-21T14:47:50.275777Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-7" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version" status=200 response_size="451B" request_duration=11.419709ms}
2026-04-21T14:47:50.275988Z  INFO elementx: NavigationSplitCoordinator(NavigationStackCoordinator(Empty) | Empty) Set sidebar: NavigationStackCoordinator(Empty) | NavigationCoordinators.swift:302 | spans: root
2026-04-21T14:47:50.278447Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: send{request_id="REQ-2" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key" status=404 response_size="58B" request_duration=65.357292ms}
2026-04-21T14:47:50.278786Z  INFO elementx: StaticAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.278909Z  INFO elementx: AlternateAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.279192Z  INFO elementx: AllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(3)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:47:50.280030Z  INFO elementx: Session security state changed, verificationState: unverified, recoveryState: disabled | UserSession.swift:48 | spans: root
2026-04-21T14:47:50.280224Z  INFO elementx: Recovery state changed to: disabled, setting local state to disabled | SecureBackupController.swift:80 | spans: root
2026-04-21T14:47:50.280496Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > sync_once{conn_id="room-list" pos="554/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=0} > send{request_id="REQ-9" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="646B"}
2026-04-21T14:47:50.280803Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="581a01b129644098aabfaaaa2667632b"} > send{request_id="REQ-8" method=POST uri="https://matrix.mertis.kz/_matrix/client/v3/keys/query" request_size="81B" status=200 response_size="29.2k" request_duration=10.906375ms}
2026-04-21T14:47:50.281187Z DEBUG matrix_sdk_crypto::identities::manager: Handling a `/keys/query` response request_id="581a01b129644098aabfaaaa2667632b" users={"@aktau:mertis.kz", "@alm:mertis.kz", "@test2:mertis.kz"} failures={} | crates/matrix-sdk-crypto/src/identities/manager.rs:135 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="581a01b129644098aabfaaaa2667632b"}
2026-04-21T14:47:50.286830Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > sync_once{conn_id="room-list" pos="554/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=0} > send{request_id="REQ-9" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="646B" status=200 response_size="344B" request_duration=6.186834ms}
2026-04-21T14:47:50.288540Z  INFO elementx: Received room list update: settingUp | ClientProxy.swift:1143 | spans: root
2026-04-21T14:47:50.289123Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-10" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.ignored_user_list"}
2026-04-21T14:47:50.290282Z  INFO elementx: Received room list update: running | ClientProxy.swift:1143 | spans: root
2026-04-21T14:47:50.290820Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-11" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.ignored_user_list"}
2026-04-21T14:47:50.292470Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: send{request_id="REQ-10" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.ignored_user_list" status=404 response_size="58B" request_duration=3.252125ms}
2026-04-21T14:47:50.293936Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: send{request_id="REQ-11" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.ignored_user_list" status=404 response_size="58B" request_duration=3.043208ms}
2026-04-21T14:47:50.296042Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: sync_once{conn_id="room-list" pos="554/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=30000} > send{request_id="REQ-12" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="646B"}
2026-04-21T14:47:50.301144Z  INFO elementx: Transitioning from `initial` to `roomList(detailState: nil)` with event `start` | ChatsTabFlowCoordinatorStateMachine.swift:229 | spans: root
2026-04-21T14:47:50.312955Z DEBUG matrix_sdk_crypto::identities::manager: Finished handling of the `/keys/query` response request_id="581a01b129644098aabfaaaa2667632b" new_devices={} changed_devices={} deleted_devices={} new_identities={} changed_identities={} | crates/matrix-sdk-crypto/src/identities/manager.rs:1205 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="581a01b129644098aabfaaaa2667632b"}
2026-04-21T14:47:50.313613Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="581a01b129644098aabfaaaa2667632b"} > update_state_after_keys_query > send{request_id="REQ-13" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:47:50.316182Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="581a01b129644098aabfaaaa2667632b"} > update_state_after_keys_query > send{request_id="REQ-13" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key" status=404 response_size="58B" request_duration=2.511625ms}
2026-04-21T14:47:50.316568Z  INFO elementx: Session security state changed, verificationState: unverified, recoveryState: disabled | UserSession.swift:48 | spans: root
2026-04-21T14:47:50.316615Z  INFO elementx: Recovery state changed to: disabled, setting local state to disabled | SecureBackupController.swift:80 | spans: root
2026-04-21T14:47:50.317202Z  INFO elementx: Session security state changed, verificationState: unverified, recoveryState: disabled | UserSession.swift:48 | spans: root
2026-04-21T14:47:50.322093Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption" pos="0/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=30000} > send{request_id="REQ-14" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="106B"}
2026-04-21T14:47:50.322175Z DEBUG matrix_sdk_crypto::session_manager::sessions: Collected user/device pairs that are missing an Olm session missing_session_devices_by_user={} timed_out_devices_by_user={} | crates/matrix-sdk-crypto/src/session_manager/sessions.rs:285 | spans: next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption" pos="0/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=30000} > send_outgoing_requests > get_missing_sessions
2026-04-21T14:47:50.322990Z  WARN matrix_sdk_crypto::backups: Trying to backup room keys but no backup key was found | crates/matrix-sdk-crypto/src/backups/mod.rs:519 | spans: root
2026-04-21T14:47:50.325902Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption" pos="0/s1042_6502_62_145_250_1_254_227_0_1_1_1" timeout=30000} > send{request_id="REQ-14" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="106B" status=200 response_size="283B" request_duration=3.406542ms}
2026-04-21T14:47:50.329672Z  WARN matrix_sdk_crypto::backups: Trying to backup room keys but no backup key was found | crates/matrix-sdk-crypto/src/backups/mod.rs:519 | spans: root
2026-04-21T14:47:50.330254Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption" pos="0/s1042_6502_62_143_248_1_254_227_0_1_1_1" timeout=30000} > send{request_id="REQ-15" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="106B"}
2026-04-21T14:47:50.330335Z DEBUG matrix_sdk_crypto::session_manager::sessions: Collected user/device pairs that are missing an Olm session missing_session_devices_by_user={} timed_out_devices_by_user={} | crates/matrix-sdk-crypto/src/session_manager/sessions.rs:285 | spans: root > next_sync_with_lock{store_generation=2} > sync_once{conn_id="encryption" pos="0/s1042_6502_62_143_248_1_254_227_0_1_1_1" timeout=30000} > send_outgoing_requests > get_missing_sessions
2026-04-21T14:47:50.332700Z  INFO elementx: NavigationStackCoordinator(SalemX.HomeScreenCoordinator) Set root: SalemX.HomeScreenCoordinator | NavigationCoordinators.swift:686 | spans: root
2026-04-21T14:47:50.339229Z  INFO elementx: NavigationStackCoordinator(SalemX.CallsScreenCoordinator) Set root: SalemX.CallsScreenCoordinator | NavigationCoordinators.swift:686 | spans: root
2026-04-21T14:47:50.349561Z  INFO elementx: NavigationStackCoordinator(SalemX.StartChatScreenCoordinator) Set root: SalemX.StartChatScreenCoordinator | NavigationCoordinators.swift:686 | spans: root
2026-04-21T14:47:50.358423Z  INFO elementx: NavigationStackCoordinator(SalemX.SettingsScreenCoordinator) Set root: SalemX.SettingsScreenCoordinator | NavigationCoordinators.swift:686 | spans: root
2026-04-21T14:47:50.358485Z  WARN elementx: Recovery is disabled, skipping onboarding and opening chats directly | UserSessionFlowCoordinator.swift:399 | spans: root
2026-04-21T14:47:50.972637Z  INFO elementx: Homeserver reachability: reachable | UserSessionFlowCoordinator.swift:275 | spans: root
2026-04-21T14:47:50.973397Z  INFO elementx: Received room summary provider update, setting view room list mode to "Showing rooms" | HomeScreenViewModel.swift:345 | spans: root
2026-04-21T14:47:50.974477Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-16" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/profile/@aktau:mertis.kz/avatar_url"}
