2026-04-21T14:37:55.390305Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:38:07.830489Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-8" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions"}
2026-04-21T14:38:07.890579Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-8" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions" status=200 response_size="1.2k" request_duration=57.416292ms}
2026-04-21T14:38:07.896257Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-9" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/account/whoami"}
2026-04-21T14:38:07.898766Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-9" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/account/whoami" status=200 response_size="72B" request_duration=2.293292ms}
2026-04-21T14:38:07.917788Z DEBUG matrix_sdk_crypto::machine: Created a new Olm account | crates/matrix-sdk-crypto/src/machine/mod.rs:362 | spans: root > with_store{user_id="@aktau:mertis.kz" device_id="pHHotPZIkM" ed25519_key=M0mhG6UokHUP46hSMjDWKG61kmpw/2xLe+La75gin+s curve25519_key=pFaf/unMw0v17TGquqcrfbPxp7v3fGDpgJr8UDhiIXk}
2026-04-21T14:38:07.917861Z DEBUG matrix_sdk_crypto::machine: Creating an empty cross signing identity stub | crates/matrix-sdk-crypto/src/machine/mod.rs:378 | spans: root > with_store{user_id="@aktau:mertis.kz" device_id="pHHotPZIkM" ed25519_key=M0mhG6UokHUP46hSMjDWKG61kmpw/2xLe+La75gin+s curve25519_key=pFaf/unMw0v17TGquqcrfbPxp7v3fGDpgJr8UDhiIXk}
2026-04-21T14:38:07.934112Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"} > send{request_id="REQ-10" method=POST uri="https://matrix.mertis.kz/_matrix/client/v3/keys/query" request_size="39B"}
2026-04-21T14:38:07.938162Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-21T14:38:07.939121Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-11" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-21T14:38:07.942242Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"} > send{request_id="REQ-10" method=POST uri="https://matrix.mertis.kz/_matrix/client/v3/keys/query" request_size="39B" status=200 response_size="14.3k" request_duration=6.616625ms}
2026-04-21T14:38:07.943053Z DEBUG matrix_sdk_crypto::identities::manager: Handling a `/keys/query` response request_id="6b9acc8ef425487fba31fcb109c21773" users={"@aktau:mertis.kz"} failures={} | crates/matrix-sdk-crypto/src/identities/manager.rs:135 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"}
2026-04-21T14:38:07.948986Z  INFO elementx: Key backup state changed to: unknown, setting local state to unknown | SecureBackupController.swift:59 | spans: root
2026-04-21T14:38:07.949299Z  INFO elementx: Recovery state changed to: unknown, setting local state to unknown | SecureBackupController.swift:80 | spans: root
2026-04-21T14:38:07.949386Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-11" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version" status=200 response_size="451B" request_duration=8.529625ms}
2026-04-21T14:38:07.949699Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-21T14:38:07.949752Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-12" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-21T14:38:07.953421Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-12" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version" status=200 response_size="451B" request_duration=3.636208ms}
2026-04-21T14:38:07.953649Z DEBUG matrix_sdk_crypto::machine: Initialising crypto store generation at 0 | crates/matrix-sdk-crypto/src/machine/mod.rs:2852 | spans: root
2026-04-21T14:38:07.953936Z  WARN matrix_sdk_crypto::identities::manager: Our own device might have been deleted user_id="@aktau:mertis.kz" device_id="pHHotPZIkM" curve25519_key="curve25519:pFaf/unMw0v17TGquqcrfbPxp7v3fGDpgJr8UDhiIXk" ed25519_key="ed25519:M0mhG6UokHUP46hSMjDWKG61kmpw/2xLe+La75gin+s" | crates/matrix-sdk-crypto/src/identities/manager.rs:352
2026-04-21T14:38:07.958721Z  INFO elementx: AllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:38:07.959108Z DEBUG matrix_sdk_crypto::store::crypto_store_wrapper: Stored our own identity master_key=Some("ed25519:PSnLuw3ar5JYXvr1IIz9AvhBfEMXdmto8h0EbE/OnLo") user_signing_key=Some("ed25519:DWYgSYu/HeAoUI8DUmMJkvWq0LbGifLZCWg5616ZNz8") self_signing_key=Some("ed25519:42bcETY6TQ56pkKdIaVRdnTh9DoC4EG76ymwPyw+Hxg") previously_verified=false verified=false | crates/matrix-sdk-crypto/src/store/crypto_store_wrapper.rs:149 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"}
2026-04-21T14:38:07.965097Z  INFO elementx: AlternateAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:38:07.965219Z  INFO elementx: StaticAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-21T14:38:07.966942Z  INFO elementx: Starting sync | ClientProxy.swift:442 | spans: root
